gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,der_pct,total_rcv_started,total_rcv_correct,total_collision,radio_der_pct,collision_pct
2,4,MIN,8,11,5025,2043,0,40.65671641791045,10050,2043,8007,20.328358208955226,79.67164179104478
2,4,MIN,8,12,5025,2043,0,40.65671641791045,10050,2043,8007,20.328358208955226,79.67164179104478
2,4,MIN,8,7,5025,2043,0,40.65671641791045,10050,2043,8007,20.328358208955226,79.67164179104478
2,4,MIN,8,8,5025,2043,0,40.65671641791045,10050,2043,8007,20.328358208955226,79.67164179104478
2,4,MIN,8,9,5025,2043,0,40.65671641791045,10050,2043,8007,20.328358208955226,79.67164179104478
2,4,MIN,9,10,2859,2031,0,71.03882476390346,5718,2031,3687,35.51941238195173,64.48058761804828
2,4,MIN,9,11,953,677,0,71.03882476390346,1906,677,1229,35.51941238195173,64.48058761804828
2,4,MIN,9,12,2859,2031,0,71.03882476390346,5718,2031,3687,35.51941238195173,64.48058761804828
2,4,MIN,9,7,1906,1354,0,71.03882476390346,3812,1354,2458,35.51941238195173,64.48058761804828
2,4,MIN,9,8,2859,2031,0,71.03882476390346,5718,2031,3687,35.51941238195173,64.48058761804828
2,4,MIN,9,9,1906,1354,0,71.03882476390346,3812,1354,2458,35.51941238195173,64.48058761804828
2,5,MAX,10,10,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,5,MAX,10,11,482,482,0,100.0,964,482,142,50.0,14.730290456431536
2,5,MAX,10,12,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,5,MAX,10,7,482,482,0,100.0,964,482,142,50.0,14.730290456431536
2,5,MAX,10,8,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,5,MAX,10,9,964,964,0,100.0,1928,964,284,50.0,14.730290456431536
2,5,MAX,11,10,244,244,0,100.0,488,244,0,50.0,0.0
2,5,MAX,11,11,244,244,0,100.0,488,244,0,50.0,0.0
2,5,MAX,11,12,488,488,0,100.0,976,488,0,50.0,0.0
2,5,MAX,11,7,732,732,0,100.0,1464,732,0,50.0,0.0
2,5,MAX,11,8,244,244,0,100.0,488,244,0,50.0,0.0
2,5,MAX,11,9,244,244,0,100.0,488,244,0,50.0,0.0
2,5,MAX,12,10,140,140,0,100.0,280,140,0,50.0,0.0
2,5,MAX,12,11,280,280,0,100.0,560,280,0,50.0,0.0
2,5,MAX,12,12,140,140,0,100.0,280,140,0,50.0,0.0
2,5,MAX,12,7,140,140,0,100.0,280,140,0,50.0,0.0
2,5,MAX,12,8,280,280,0,100.0,560,280,0,50.0,0.0
2,5,MAX,12,9,280,280,0,100.0,560,280,0,50.0,0.0
2,5,MAX,7,10,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,5,MAX,7,11,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,5,MAX,7,12,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,5,MAX,7,7,8979,8979,0,100.0,17958,8979,0,50.0,0.0
2,5,MAX,7,8,8979,8979,0,100.0,17958,8979,0,50.0,0.0
