gw,mesh,mode,sensorSF,meshSF,total_sent,total_rcv,total_drop,total_rcv_correct,total_rcv_started,total_collision,radio_der_pct,collision_pct,der_pct
2,2,MIN,11,8,244,227,0,227,488,0,46.51639344262295,0.0,93.0327868852459
2,2,MIN,11,9,244,245,0,245,488,0,50.204918032786885,0.0,100.40983606557377
2,2,MIN,12,10,140,195,0,195,280,0,69.64285714285714,0.0,139.28571428571428
2,2,MIN,12,11,140,198,0,198,280,0,70.71428571428572,0.0,141.42857142857144
2,2,MIN,12,12,140,202,0,202,280,0,72.14285714285714,0.0,144.28571428571428
2,2,MIN,12,7,140,197,0,197,280,0,70.35714285714286,0.0,140.71428571428572
2,2,MIN,12,8,140,195,0,195,280,0,69.64285714285714,0.0,139.28571428571428
2,2,MIN,12,9,140,197,0,197,280,0,70.35714285714286,0.0,140.71428571428572
2,2,MIN,7,10,2993,1118,0,1118,5986,0,18.676912796525226,0.0,37.35382559305045
2,2,MIN,7,11,2993,1133,0,1133,5986,0,18.927497494153023,0.0,37.854994988306046
2,2,MIN,7,12,2993,1148,0,1148,5986,0,19.17808219178082,0.0,38.35616438356164
2,2,MIN,7,7,2993,1130,0,1130,5986,0,18.877380554627464,0.0,37.75476110925493
2,2,MIN,7,8,2993,1142,0,1142,5986,0,19.077848312729703,0.0,38.155696625459406
2,2,MIN,7,9,2993,1099,0,1099,5986,0,18.359505512863347,0.0,36.719011025726694
2,2,MIN,8,10,1675,551,0,551,3350,1965,16.44776119402985,58.656716417910445,32.8955223880597
2,2,MIN,8,11,1675,529,0,529,3350,1987,15.791044776119403,59.3134328358209,31.582089552238806
2,2,MIN,8,12,1675,546,0,546,3350,1994,16.29850746268657,59.52238805970149,32.59701492537314
2,2,MIN,8,7,1675,550,0,550,3350,1999,16.417910447761194,59.67164179104477,32.83582089552239
2,2,MIN,8,8,1675,540,0,540,3350,2011,16.119402985074625,60.02985074626865,32.23880597014925
2,2,MIN,8,9,1675,562,0,562,3350,1979,16.776119402985074,59.07462686567164,33.55223880597015
2,2,MIN,9,10,953,494,0,494,1906,630,25.918153200419724,33.05351521511018,51.83630640083945
2,2,MIN,9,11,953,491,0,491,1906,629,25.760755508919203,33.001049317943334,51.52151101783841
2,2,MIN,9,12,953,494,0,494,1906,603,25.918153200419724,31.63693599160546,51.83630640083945
2,2,MIN,9,7,953,467,0,467,1906,608,24.501573976915004,31.899265477439663,49.00314795383001
2,2,MIN,9,8,953,478,0,478,1906,614,25.078698845750264,32.21406086044071,50.15739769150053
2,2,MIN,9,9,953,480,0,480,1906,582,25.183630640083944,30.535152151101784,50.36726128016789
2,3,MAX,10,10,482,345,0,345,964,142,35.788381742738586,14.730290456431536,71.57676348547717
2,3,MAX,10,11,482,335,0,335,964,142,34.75103734439834,14.730290456431536,69.50207468879668
2,3,MAX,10,12,482,344,0,344,964,142,35.684647302904565,14.730290456431536,71.36929460580913
2,3,MAX,10,7,482,324,0,324,964,142,33.60995850622407,14.730290456431536,67.21991701244814
2,3,MAX,10,8,482,336,0,336,964,142,34.85477178423236,14.730290456431536,69.70954356846472
2,3,MAX,10,9,482,332,0,332,964,142,34.439834024896264,14.730290456431536,68.87966804979253
2,3,MAX,11,10,244,189,0,189,488,0,38.72950819672131,0.0,77.45901639344262
2,3,MAX,11,11,244,184,0,184,488,0,37.704918032786885,0.0,75.40983606557377
2,3,MAX,11,12,244,185,0,185,488,0,37.90983606557377,0.0,75.81967213114754
2,3,MAX,11,7,244,188,0,188,488,0,38.52459016393443,0.0,77.04918032786885
2,3,MAX,11,8,244,189,0,189,488,0,38.72950819672131,0.0,77.45901639344262
2,3,MAX,11,9,244,187,0,187,488,0,38.31967213114754,0.0,76.63934426229508
2,3,MAX,12,10,140,131,0,131,280,0,46.785714285714285,0.0,93.57142857142857
2,3,MAX,12,11,140,133,0,133,280,0,47.5,0.0,95.0
2,3,MAX,12,12,140,133,0,133,280,0,47.5,0.0,95.0
2,3,MAX,12,7,140,129,0,129,280,0,46.07142857142857,0.0,92.14285714285714
2,3,MAX,12,8,140,131,0,131,280,0,46.785714285714285,0.0,93.57142857142857
2,3,MAX,12,9,140,130,0,130,280,0,46.42857142857143,0.0,92.85714285714286
2,3,MAX,7,10,2993,1153,0,1153,5986,0,19.261610424323422,0.0,38.523220848646844
2,3,MAX,7,11,2993,1138,0,1138,5986,0,19.011025726695625,0.0,38.02205145339125
2,3,MAX,7,12,2993,1118,0,1118,5986,0,18.676912796525226,0.0,37.35382559305045
2,3,MAX,7,7,2993,1118,0,1118,5986,0,18.676912796525226,0.0,37.35382559305045
2,3,MAX,7,8,2993,1135,0,1135,5986,0,18.960908787170062,0.0,37.921817574340125
2,3,MAX,7,9,2993,1127,0,1127,5986,0,18.827263615101906,0.0,37.65452723020381
2,3,MAX,8,10,1675,556,0,556,3350,1881,16.597014925373134,56.149253731343286,33.19402985074627
2,3,MAX,8,11,1675,529,0,529,3350,1929,15.791044776119403,57.5820895522388,31.582089552238806
2,3,MAX,8,12,1675,539,0,539,3350,1939,16.08955223880597,57.88059701492537,32.17910447761194
2,3,MAX,8,7,1675,547,0,547,3350,1895,16.328358208955223,56.56716417910448,32.656716417910445
2,3,MAX,8,8,1675,536,0,536,3350,1911,16.0,57.04477611940298,32.0
2,3,MAX,8,9,1675,535,0,535,3350,1921,15.970149253731345,57.343283582089555,31.94029850746269
2,3,MAX,9,10,953,467,0,467,1906,603,24.501573976915004,31.63693599160546,49.00314795383001
2,3,MAX,9,11,953,440,0,440,1906,611,23.084994753410285,32.05666316894019,46.16998950682057
2,3,MAX,9,12,953,472,0,472,1906,611,24.763903462749212,32.05666316894019,49.527806925498425
2,3,MAX,9,7,953,460,0,460,1906,624,24.134312696747116,32.73871983210913,48.26862539349423
2,3,MAX,9,8,953,442,0,442,1906,609,23.189926547743966,31.951731374606506,46.37985309548793
2,3,MAX,9,9,953,456,0,456,1906,601,23.92444910807975,31.532004197271775,47.8488982161595
2,3,MIN,10,10,482,348,0,348,964,140,36.09958506224066,14.522821576763487,72.19917012448133
2,3,MIN,10,11,482,339,0,339,964,140,35.16597510373444,14.522821576763487,70.33195020746888
2,3,MIN,10,12,482,355,0,355,964,142,36.82572614107884,14.730290456431536,73.65145228215768
2,3,MIN,10,7,482,331,0,331,964,137,34.33609958506224,14.21161825726141,68.67219917012449
2,3,MIN,10,8,482,342,0,342,964,146,35.477178423236516,15.145228215767634,70.95435684647303
2,3,MIN,10,9,482,340,0,340,964,143,35.26970954356847,14.83402489626556,70.53941908713693
2,3,MIN,11,10,244,200,0,200,488,0,40.98360655737705,0.0,81.9672131147541
2,3,MIN,11,11,244,199,0,199,488,0,40.77868852459016,0.0,81.55737704918032
2,3,MIN,11,12,244,192,0,192,488,0,39.34426229508197,0.0,78.68852459016394
2,3,MIN,11,7,244,201,0,201,488,0,41.18852459016394,0.0,82.37704918032787
2,3,MIN,11,8,244,205,0,205,488,0,42.00819672131148,0.0,84.01639344262296
2,3,MIN,11,9,244,196,0,196,488,0,40.16393442622951,0.0,80.32786885245902
2,3,MIN,12,10,140,163,0,163,280,0,58.214285714285715,0.0,116.42857142857143
2,3,MIN,12,11,140,175,0,175,280,0,62.5,0.0,125.0
2,3,MIN,12,12,140,174,0,174,280,0,62.142857142857146,0.0,124.28571428571429
2,3,MIN,12,7,140,149,0,149,280,0,53.214285714285715,0.0,106.42857142857143
2,3,MIN,12,8,140,174,0,174,280,0,62.142857142857146,0.0,124.28571428571429
2,3,MIN,12,9,140,171,0,171,280,0,61.07142857142858,0.0,122.14285714285715
2,3,MIN,7,10,2993,1153,0,1153,5986,0,19.261610424323422,0.0,38.523220848646844
2,3,MIN,7,11,2993,1138,0,1138,5986,0,19.011025726695625,0.0,38.02205145339125
2,3,MIN,7,12,2993,1120,0,1120,5986,0,18.710324089542265,0.0,37.42064817908453
2,3,MIN,7,7,2993,1118,0,1118,5986,0,18.676912796525226,0.0,37.35382559305045
2,3,MIN,7,8,2993,1136,0,1136,5986,0,18.977614433678582,0.0,37.955228867357164
2,3,MIN,7,9,2993,1130,0,1130,5986,0,18.877380554627464,0.0,37.75476110925493
